"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.023051077E0,4.880000055E-1,-7.179999948E-1,9.796999931E0,9.835388943E0
2.033062308E0,5.260000229E-1,-7.080000043E-1,9.826000214E0,9.865506588E0
2.043409231E0,4.779999852E-1,-7.179999948E-1,9.826000214E0,9.863786706E0
2.053343461E0,4.399999976E-1,-7.179999948E-1,9.796999931E0,9.833124206E0
2.063053231E0,4.979999959E-1,-7.179999948E-1,9.835000038E0,9.873740615E0
2.073046692E0,5.170000196E-1,-7.179999948E-1,9.854000092E0,9.893640928E0
2.083052384E0,4.690000117E-1,-7.469999790E-1,9.873999596E0,9.913316196E0
2.093051769E0,5.260000229E-1,-7.179999948E-1,9.854000092E0,9.894115313E0
2.103055077E0,4.589999914E-1,-7.469999790E-1,9.826000214E0,9.865037768E0
2.113075384E0,4.779999852E-1,-7.469999790E-1,9.786999702E0,9.827098052E0
2.123049769E0,4.880000055E-1,-7.369999886E-1,9.854000092E0,9.893565120E0
2.133050384E0,5.170000196E-1,-7.469999790E-1,9.826000214E0,9.867906474E0
2.143056154E0,4.300000072E-1,-7.179999948E-1,9.796999931E0,9.832681814E0
2.153054538E0,5.360000134E-1,-7.179999948E-1,9.902000427E0,9.942456058E0
2.163054384E0,4.880000055E-1,-6.990000010E-1,9.767999649E0,9.805129380E0
2.173050154E0,4.880000055E-1,-6.790000200E-1,9.835000038E0,9.870481791E0
2.183057000E0,4.690000117E-1,-7.469999790E-1,9.864000320E0,9.903356618E0
2.193047923E0,4.880000055E-1,-7.179999948E-1,9.854000092E0,9.892167902E0
2.203063769E0,4.779999852E-1,-7.179999948E-1,9.826000214E0,9.863786706E0
2.213052461E0,4.880000055E-1,-6.600000262E-1,9.826000214E0,9.860224350E0
2.223051154E0,4.589999914E-1,-7.080000043E-1,9.729999542E0,9.766516067E0
2.233062846E0,4.880000055E-1,-7.080000043E-1,9.786999702E0,9.824702092E0
2.243054077E0,4.589999914E-1,-7.469999790E-1,9.902000427E0,9.940739531E0
2.253054846E0,4.399999976E-1,-7.179999948E-1,9.835000038E0,9.870985247E0
2.263046000E0,5.450000167E-1,-6.700000167E-1,9.864000320E0,9.901738603E0
2.273048077E0,4.880000055E-1,-7.179999948E-1,9.835000038E0,9.873241299E0
